Stroke Number,Time (secs),Distance (meters),Stroke Rate (s/m),500m Split (secs),Power (Watts),Heart Rate (bpm),Peak Force (Newtons),Average Drive Force (Newtons),Drive Length (meters),Drive Time (secs),% of Stroke Complete When Peak Force Is Reached,Impulse (Average force x Time) (N•s),Work Per Stroke (Joules),Stroke Speeed (m/s),Force Curve Data Points (Newtons)
25,61,242,25,123,191,0,569.21,391.44,1.33,0.71,43.90, 277.92,460,1.87,160.136 160.136 266.893 298.031 338.065 395.892 395.892 444.822 511.545 511.545 511.545 529.338 556.028 564.924 547.131 529.338 533.786 542.683 560.476 547.131 520.442 533.786 524.89 511.545 458.167 444.822 444.822 431.477 418.133 395.892 369.202 329.168 262.445 244.652 240.204 217.963 191.273 151.239 84.516 62.275 
26,63,251,25,122,190,0,573.70,382.55,1.33,0.71,32.50, 271.61,461,1.87,124.55 124.55 191.273 240.204 298.031 355.858 355.858 400.34 449.27 475.96 475.96 529.338 524.89 520.442 533.786 538.235 551.579 569.372 556.028 556.028 547.131 547.131 538.235 524.89 484.856 440.374 435.926 418.133 427.029 391.443 346.961 324.72 280.238 244.652 231.307 200.17 173.481 142.343 120.102 97.861 
27,66,261,25,123,188,0,573.70,382.55,1.33,0.71,42.50, 271.61,456,1.87,137.895 137.895 231.307 302.479 338.065 338.065 298.031 346.961 475.96 475.96 484.856 484.856 475.96 480.408 515.994 515.994 524.89 569.372 556.028 564.924 529.338 524.89 524.89 475.96 471.511 493.752 444.822 431.477 378.099 369.202 355.858 382.547 306.927 280.238 235.756 231.307 195.722 195.722 164.584 128.998 
28,68,271,25,123,190,0,631.96,422.58,1.30,0.6900000000000001,42.50, 291.58,452,1.88,133.447 133.447 257.997 324.72 351.409 364.754 364.754 409.236 511.545 515.994 515.994 556.028 564.924 569.372 551.579 560.476 573.82 587.165 627.199 600.51 564.924 573.82 564.924 564.924 520.442 467.063 489.304 435.926 435.926 449.27 386.995 360.306 315.824 284.686 271.341 204.618 164.584 133.447 142.343 
29,70,281,25,123,197,0,555.77,395.89,1.30,0.6900000000000001,46.15, 273.17,480,1.88,155.688 155.688 235.756 293.583 298.031 298.031 351.409 418.133 529.338 529.338 515.994 533.786 515.994 520.442 507.097 529.338 542.683 529.338 551.579 515.994 502.649 515.994 520.442 529.338 511.545 471.511 418.133 431.477 404.788 435.926 391.443 351.409 306.927 289.134 244.652 213.515 160.136 137.895 106.757 
30,73,291,25,121,192,0,618.52,395.89,1.27,0.68,46.15, 269.21,462,1.87,137.895 231.307 231.307 284.686 329.168 311.375 311.375 369.202 502.649 502.649 515.994 515.994 511.545 529.338 542.683 551.579 600.51 600.51 600.51 613.854 600.51 564.924 564.924 520.442 467.063 449.27 386.995 369.202 369.202 373.65 342.513 302.479 253.549 253.549 226.859 164.584 137.895 75.62 
31,75,301,25,122,188,0,587.14,382.55,1.39,0.75,50.00, 286.91,472,1.85,124.55 124.55 173.481 266.893 262.445 262.445 298.031 333.617 440.374 440.374 449.27 458.167 458.167 489.304 489.304 511.545 569.372 556.028 578.269 560.476 560.476 560.476 569.372 578.269 533.786 533.786 480.408 484.856 458.167 458.167 409.236 386.995 364.754 329.168 320.272 266.893 249.1 195.722 195.722 182.377 106.757 84.516 17.793 
32,78,311,24,123,191,0,573.70,391.44,1.39,0.74,41.86, 289.67,469,1.88,102.309 195.722 195.722 257.997 324.72 333.617 333.617 391.443 427.029 475.96 475.96 502.649 507.097 493.752 475.96 493.752 556.028 560.476 564.924 560.476 569.372 547.131 538.235 520.442 498.201 529.338 511.545 524.89 471.511 431.477 395.892 391.443 369.202 342.513 315.824 289.134 253.549 222.411 177.929 146.791 93.413 
33,80,322,24,122,188,0,587.14,378.10,1.39,0.75,48.78, 283.57,490,1.85,115.654 115.654 209.066 266.893 306.927 306.927 302.479 333.617 453.718 453.718 458.167 475.96 484.856 493.752 493.752 502.649 542.683 551.579 582.717 578.269 542.683 542.683 542.683 520.442 547.131 520.442 467.063 484.856 462.615 440.374 409.236 355.858 346.961 306.927 320.272 289.134 266.893 195.722 173.481 142.343 115.654 84.516 
34,83,332,23,123,186,0,542.32,382.55,1.36,0.73,42.86, 279.26,466,1.86,164.584 164.584 235.756 280.238 315.824 315.824 315.824 360.306 440.374 440.374 480.408 458.167 431.477 449.27 471.511 471.511 533.786 511.545 529.338 524.89 538.235 538.235 515.994 529.338 511.545 493.752 480.408 458.167 444.822 404.788 386.995 413.684 338.065 338.065 298.031 249.1 235.756 244.652 222.411 186.825 106.757 
