	HC25_Jrk_FB_2_ZT10	HC25_Jrk_FB_2_ZT14	HC25_Jrk_FB_2_ZT18	HC25_Jrk_FB_2_ZT2	HC25_Jrk_FB_2_ZT22	HC25_Jrk_FB_2_ZT6	HC25_Jrk_FB_ZT10	HC25_Jrk_FB_ZT14	HC25_Jrk_FB_ZT18	HC25_Jrk_FB_ZT2	HC25_Jrk_FB_ZT22	HC25_Jrk_FB_ZT6
FBgn0001099	4.906009	6.03697	5.95473	4.969158	3.71976	5.197364003	7.431889	5.344711	5.3403	5.69521	6.25672	4.03418
FBgn0001104	29.1967	18.3674	28.3933	27.0815	19.7547	24.8209	34.0467	30.5445	30.2706	22.641	20.1795	24.6422
FBgn0001105	18.0308865	10.9036231	22.353998	16.458031	8.068491	13.002647	26.8779	34.93997673	20.16387	12.9505472	13.59862623	20.906016
FBgn0001108	14.7348	12.3886	15.9506	13.2544	10.3258	11.0771	20.6987	17.4551	13.2674	10.6557	10.8485	12.6489
FBgn0001112	0.516996	0.20832	0.40986	0.067252	0.0612886	0.1085142	0.1228116	0.358174	0.0971822	0.1211152	0.1222526	0.1458938
FBgn0001114	408.2072	383.76491	402.8387	390.5198	373.7475	466.9048	336.3794	422.023	326.7471	350.846	252.1386	428.8245
FBgn0001120	27.8187	12.1712	55.2436	36.1155	15.5423	7.18307	93.615	21.6389	45.2119	27.8532	48.9652	13.9906
FBgn0001122	3.62886	1.638677903	4.8922	3.366849	1.382186007	2.828498	4.929670298	11.22664782	3.289473	2.529137	1.997974805	5.573677671
FBgn0001123	26.563487	20.48655	19.842213	19.92969	11.510975	24.60719	17.287278	27.58672	21.208062	17.019695	13.31837	20.75447
FBgn0001124	319.746	328.3560005	326.777	328.3870006	363.2400113	311.0530002	235.019	301.895	321.2710001	283.454	287.732	247.352
FBgn0001125	625.415	577.44955	683.26387	565.83059	711.51176	482.07356	560.35304	598.80232	613.42699	547.85055	583.40619	529.34548
FBgn0001128	910.54822	818.72532	838.55497	823.74416	833.38674	965.94379	754.91867	1005.49202	814.669	866.85157	773.42418	957.76615
FBgn0001133	14.1177	13.8265	13.7103	15.5334	14.156	12.8344	17.8414	16.1274	16.2544	16.9347	18.5781	16.2346
FBgn0001134	1.11441	0.56864	0.902009	1.07529	0.668139	1.18725	0.802556	1.70025	1.1524	1.10042	0.824556	1.23949
FBgn0001137	15.6725	10.6915	13.3931	11.3197	7.46236	11.1513	13.3364	11.7836	11.7291	10.0199	11.0828	7.44631
FBgn0001138	0	0.0288265	0	0.0335019	0	0	0.0203931	0.0331388	0.0403432	0	0	0.0173042
FBgn0001139	7.336800237	4.609138346	9.726754957	6.80107808	4.479781467	3.864462029	13.12147007	13.95776369	9.912756506	4.426081669	4.461421009	8.3774316
