	HC25_Jrk_FB_2_ZT10	HC25_Jrk_FB_2_ZT14	HC25_Jrk_FB_2_ZT18	HC25_Jrk_FB_2_ZT2	HC25_Jrk_FB_2_ZT22	HC25_Jrk_FB_2_ZT6	HC25_Jrk_FB_ZT10	HC25_Jrk_FB_ZT14	HC25_Jrk_FB_ZT18	HC25_Jrk_FB_ZT2	HC25_Jrk_FB_ZT22	HC25_Jrk_FB_ZT6
FBgn0041710	99.9999975	84.99995037	96	314.9995	123.9999	177	114.0002102	163.9995359	124.0004333	394.00002	174.0003063	173
FBgn0041711	11	1	7	20	14	3	3	6	12	12	8	2
FBgn0041712	215	212	122	267	99	76	211	303	131	329	71	302
FBgn0041713	505.607	441.184	475.046	895.924	411.1417	455.261	369.167	606.337	430.667	814.029	338.959	512.857
FBgn0041723	3.01638	2	14.0665	14.0416	2	5.02624	13.0445	8.07466	15.0675	13.0817	7.03976	2
FBgn0041775	2201.004866	1175.000346	5270.002002	5274.0035	1092.00007	1432.005136	9356.9942	4103.9991	5818.0029	4258.995998	3196.001226	3491.000968
FBgn0041780	2	1	2	10	3	1	1	1	1	2	1	0
FBgn0041781	407.0001	319.0004	469.0001213	878.9996	216.9999	413.9999001	628.0004	766.0002001	631.000298	760.0001121	417.0005	635
FBgn0041789	1759.8561	1387.0225	1815.1323	3523.909	1536.4413	1528.675092	1967.150594	2513.115805	1688.0251	2883.1314	1624.632	2125.0104
FBgn0042083	761	742	892	2036	758	801	1281	1031	931	2055	1095	1294
FBgn0042085	217	138	503	701	149	151	873	391	468	444	316	358
FBgn0042086	43	0	16	62	0	0	0	135	0	82	63	54
FBgn0042092	79	43	182	251	65	62	256	136	182	233	187	165
FBgn0042094	273.999556	298.0004203	357.99966	748.0001	235.99971	373.00044	427.0004	382.0005002	317.0003185	799.0004	394.0003	444.9997
FBgn0042098	0	0	0	0	0	0	0	0	0	1	0	0
FBgn0042101	4	1	1	5	1	1	5	4	3	3	2	5
FBgn0042102	24	13	3	39	3	10	4	38	4	27	17	23
FBgn0042103	4	4	0	6	0	1	1	7	0	6	3	3
FBgn0042104	13	10	9	23	5	18	5	23	4	24	11	27
FBgn0042105	15	0	0	7	2	1	1	1	1	5	5	2
FBgn0042106	8.17524336	7.10457	11.13987	23.2414	7.04244	4.05629	13.2097	12.2486	13.14678	14.2122	8.15074	19.28496
FBgn0042110	17	9	7	30	6	15	20	43	15	39	22	25
FBgn0042111	92	88.00005	147.9999	315.99977	115	114	157.99986	189.9998	154.9995	302.9996013	145	193.000012
FBgn0042112	70	89	121	190	99	85	155	130	164	240	184	140
FBgn0042118	2.18892	0.996715	0	2.063127	1.998781	0	0.997135	0.997366	0	3.99327	2.99222	0.997922
