	HC25_FB_2_ZT10	HC25_FB_2_ZT12	HC25_FB_2_ZT14	HC25_FB_2_ZT16	HC25_FB_2_ZT18	HC25_FB_2_ZT2	HC25_FB_2_ZT20	HC25_FB_2_ZT22	HC25_FB_2_ZT24	HC25_FB_2_ZT4	HC25_FB_2_ZT6	HC25_FB_2_ZT8	HC25_FB_ZT10	HC25_FB_ZT12	HC25_FB_ZT14	HC25_FB_ZT16	HC25_FB_ZT18	HC25_FB_ZT2	HC25_FB_ZT20	HC25_FB_ZT22	HC25_FB_ZT24	HC25_FB_ZT4	HC25_FB_ZT6	HC25_FB_ZT8
FBgn0052441	65.92314	70.17743	72.39195	68.4887	63.1397	67.60493	68.02496	75.64859	63.08794	58.60834	62.54149	61.16484	81.43043	73.03078	68.54837	80.4606	76.39029	78.49391	83.97278	72.14778	84.01225	76.66239	77.47469	70.36805
FBgn0052442	15.63493	13.3207	18.65459	15.57067	14.64131	15.57983	13.78403	14.83605	16.03896	15.78751	14.18411	13.41133	21.94405303	20.9534	19.68651	24.1371	21.2672	19.40185	22.24409	21.66019	18.65894956	29.72238	25.05388	17.05763
FBgn0052445	0	0	0.0729145	0	0	0	0	0	0	0	0	0.0745285	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052446	80.389	84.3564	84.4286	85.173	84.6484	82.964	79.3874	78.2412	82.0848	77.5244	76.5184	79.7062	94.5906	78.5116	76.4878	89.1614	87.352	93.9034	94.3724	106.2114	94.8834	116.2354	96.029	88.8352
FBgn0052447	0.0314489	0.0875952	0.0301328	0.0371186	0.17949	0.0330846	0.029116	0.0639954	0.0387149	0.0657537	0.0539326	0	0.0560948	0	0.127815	0.0428535	0	0.0583611	0.0828278	0	0	0	0.0448722	0
FBgn0052448	43.0329	48.7743	54.0835	40.8967	31.8967	42.7724	46.0496	42.6466	39.9034	37.3917	40.7329	36.6714	53.6087	51.2342	52.2414	47.9768	63.6017	31.11357	69.1796	54.4297	66.8304	58.5535	59.8057	55.209
FBgn0052450	0	0	0	0	0	0.0742011	0	0	0.347314	0	0	0	0.108252	0	0	0	0	0	0	0	0	0	0	0
FBgn0052451	30.54705	30.146577	32.75711	29.587432	32.10754	33.261084	34.648672	30.820586	35.95011	26.97834	27.879536	28.954172	31.998446	37.769563	32.75288	33.835995	42.680845	34.91027003	34.909637	32.42377	41.77235	47.48784	38.057712	25.426585
FBgn0052452	7.407887	2.345614	7.518135	3.88429	3.0955758	5.686517392	2.68117	6.001397271	5.002590246	5.08121	3.272870159	3.63176	5.01205	4.442605	5.07811	9.19917	2.493495	17.046198	4.600453	3.233897	9.44621	24.79665	6.15918	3.89265
FBgn0052453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0052459	0	0	0	0	0	0	0	0	0	0	0	0	0.0572068	0	0	0	0.103461	0	0	0	0	0.110006	0	0
FBgn0052461	0	0	0.12309	0.151627	0	0.033787	0.118936	0	0	0.134299	0	0	0.0985834	0	0.261058	0	0	0	0.169172	0	0.152101	0	0	0
FBgn0052462	0	0	0.161054	0.0991963	0.0959343	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0995065	0	0	0
FBgn0052463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
